Date,Mean Humidity
2017-09-11,73.23
2017-09-12,73.21
2017-09-13,73.17
2017-09-14,73.17
2017-09-15,73.21
2017-09-16,73.22
2017-09-17,73.18
2017-09-18,73.2
2017-09-19,73.23
2017-09-20,73.24
2017-09-21,73.22
2017-09-22,73.21
2017-09-23,73.2
2017-09-24,73.18
2017-09-25,73.16
2017-09-26,73.17
2017-09-27,73.17
2017-09-28,73.17
2017-09-29,73.19
2017-09-30,73.2
2017-10-01,73.24
2017-10-02,73.22
2017-10-03,73.25
2017-10-04,73.29
2017-10-05,73.28
2017-10-06,73.26
2017-10-07,73.24
2017-10-08,73.27
2017-10-09,73.26
2017-10-10,73.25
2017-10-11,73.24
2017-10-12,73.27
2017-10-13,73.27
2017-10-14,73.24
2017-10-15,73.2
2017-10-16,73.2
2017-10-17,73.14
2017-10-18,73.09
2017-10-19,73.07
2017-10-20,73.02
2017-10-21,72.99
2017-10-22,72.99
2017-10-23,73.0
2017-10-24,73.01
2017-10-25,72.98
2017-10-26,72.98
2017-10-27,72.98
2017-10-28,72.94
2017-10-29,72.95
2017-10-30,72.97
2017-10-31,73.02
2017-11-01,73.01
2017-11-02,73.02
2017-11-03,73.02
2017-11-04,73.03
2017-11-05,73.03
2017-11-06,73.05
2017-11-07,73.07
2017-11-08,73.08
2017-11-09,73.1
2017-11-10,73.11
2017-11-11,73.14
2017-11-12,73.15
2017-11-13,73.16
2017-11-14,73.21
2017-11-15,73.21
2017-11-16,73.21
2017-11-17,73.23
2017-11-18,73.22
2017-11-19,73.23
2017-11-20,73.23
2017-11-21,73.27
2017-11-22,73.26
2017-11-23,73.29
2017-11-24,73.3
2017-11-25,73.3
2017-11-26,73.31
2017-11-27,73.34
2017-11-28,73.34
2017-11-29,73.35
2017-11-30,73.34
2017-12-01,73.31
2017-12-02,73.3
2017-12-03,73.3
2017-12-04,73.31
2017-12-05,73.3
2017-12-06,73.27
2017-12-07,73.28
2017-12-08,73.27
2017-12-09,73.29
2017-12-10,73.27
2017-12-11,73.26
2017-12-12,73.28
2017-12-13,73.27
